,Team,index,Poss,Gls,Ast,PrgC,PrgP,Gls_Conceded,Ast_Conceded,PrgC_Conceded,PrgP_Conceded,cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,final_standing_2022,final_point_2022,champions,europa,europa_conference,relegation,tournament_type,PCA 1,PCA 2
0,Arsenal,0,56.7,62.75,46.5,839.0,1874.5,46.0,31.25,670.75,1252.75,0,1,0,0,0,0,0,5.0,69.0,0.0,1.0,0.0,0.0,EUROPA League,1.554685032123757,0.308471639320555
1,Aston Villa,1,46.3,46.0,35.0,634.0,1333.5,55.5,37.0,782.0,1686.0,1,0,1,0,0,0,0,14.0,45.0,0.0,0.0,0.0,0.0,N/A,-0.3402048409807817,-0.06297466364131252
2,Bournemouth,2,46.36666666666667,46.0,34.333333333333336,680.3333333333334,1405.6666666666667,64.0,45.66666666666666,728.0,1670.0,1,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-0.7764977952108785,0.5203542797162672
3,Brighton,3,47.35,35.5,24.25,588.0,1392.75,51.25,36.75,758.5,1572.5,1,0,1,0,0,0,0,9.0,51.0,0.0,0.0,0.0,0.0,N/A,-0.40416724474999594,-0.29450566651799753
4,Burnley,4,42.225,37.75,27.0,419.5,1009.25,51.25,39.25,881.0,1625.5,1,0,1,0,0,0,0,18.0,35.0,0.0,0.0,0.0,1.0,Relegated next season,-0.7275346878371017,-0.7562040296333525
5,Cardiff City,5,35.4,33.0,20.0,434.0,918.0,69.0,53.0,872.0,1723.0,2,0,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-2.35098862472479,-0.19464122688731317
6,Chelsea,6,59.95,61.5,44.5,995.25,1962.0,40.25,29.5,511.0,1185.0,0,1,0,0,0,0,0,3.0,74.0,1.0,0.0,0.0,0.0,UEFA Champions,2.0646065052730247,0.21144866616807997
7,Crystal Palace,7,43.95,40.0,27.0,655.0,1280.25,54.75,39.5,751.5,1778.75,1,0,1,0,0,0,0,12.0,48.0,0.0,0.0,0.0,0.0,N/A,-0.6953584738006173,-0.3518884812402974
8,Everton,8,48.1,45.5,31.0,600.25,1339.0,50.5,36.75,716.5,1509.25,1,0,1,0,0,0,0,16.0,39.0,0.0,0.0,0.0,0.0,N/A,0.04323452154139008,-0.23927003477254571
9,Fulham,9,49.25,29.5,21.0,677.5,1420.5,65.5,46.5,687.5,1521.5,3,0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-1.2050878969088787,0.8250375276251646
10,Huddersfield,10,46.45,23.0,16.0,614.0,1229.0,66.0,48.5,678.0,1629.5,3,0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-1.6779520120203626,0.5778619177834698
11,Leeds United,11,57.3,60.0,45.0,811.0,1633.0,52.0,36.0,720.0,1201.0,0,1,0,0,0,0,0,17.0,38.0,0.0,0.0,0.0,0.0,N/A,1.1939460882258506,0.7606767105631009
12,Leicester City,12,52.575,57.5,41.25,703.0,1471.0,48.25,34.5,685.75,1397.75,0,1,0,0,0,0,0,8.0,52.0,0.0,0.0,0.0,0.0,N/A,0.9306810870292245,0.06326565357984962
13,Liverpool,13,61.775,79.0,56.25,923.0,2060.5,33.5,22.75,521.25,1017.75,4,0,0,0,0,1,0,2.0,92.0,1.0,0.0,0.0,0.0,UEFA Champions,3.170207182113522,-0.014125334955163486
14,Manchester City,14,67.15,94.0,70.0,1232.0,2377.5,28.25,18.25,431.5,791.5,5,0,0,0,0,0,1,1.0,93.0,1.0,0.0,0.0,0.0,UEFA Champions,4.388968683709282,0.17845422085179885
15,Manchester Utd,15,55.225,66.75,46.75,881.0,1713.0,38.5,26.75,687.0,1308.0,0,1,0,0,0,0,0,6.0,58.0,0.0,1.0,0.0,0.0,EUROPA League,1.9684017878377427,-0.3211855200487322
16,Newcastle Utd,16,39.975,40.25,29.25,504.75,969.25,51.5,35.75,788.75,1841.25,1,0,1,0,0,0,0,11.0,49.0,0.0,0.0,0.0,0.0,N/A,-0.8296189474974093,-0.9362728999928328
17,Norwich City,17,49.3,25.0,18.0,673.0,1169.0,72.0,50.0,846.0,1793.0,3,0,0,0,1,0,0,20.0,22.0,0.0,0.0,0.0,1.0,Relegated next season,-1.6961252120936836,1.25420610023775
18,Sheffield Utd,18,42.400000000000006,27.5,19.0,492.0,1274.0,49.5,36.5,834.0,1513.0,1,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-0.9812556521207328,-0.8972941437775566
19,Southampton,19,48.9,44.5,28.75,637.75,1368.0,61.0,44.25,642.75,1469.25,1,0,1,0,0,0,0,15.0,40.0,0.0,0.0,0.0,0.0,N/A,-0.47438092361388995,0.5434041818889209
20,Stoke City,20,41.4,34.0,28.0,477.0,1150.0,66.0,49.0,889.0,1749.0,2,0,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-1.6895271096119853,0.15574205452595058
21,Swansea City,21,45.3,27.0,20.0,596.0,1194.0,54.0,37.0,765.0,1838.0,1,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-1.0049934227178658,-0.32756734242913577
22,Tottenham,22,56.1,64.5,46.75,775.75,1683.25,39.5,25.25,633.5,1323.5,0,1,0,0,0,0,0,4.0,41.0,1.0,0.0,0.0,0.0,UEFA Champions,1.9064348675729856,-0.18142419707532534
23,Watford,23,46.43333333333334,42.66666666666666,29.0,604.3333333333334,1305.6666666666667,60.0,39.333333333333336,763.6666666666666,1550.0,1,0,1,0,0,0,0,19.0,23.0,0.0,0.0,0.0,1.0,Relegated next season,-0.6800295497395971,0.24238277512509665
24,West Brom,24,39.3,32.0,22.0,474.0,1066.5,63.5,48.0,917.0,1863.0,2,0,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Relegated before this season,-1.79432371460224,-0.21412978913485214
25,West Ham,25,45.275000000000006,52.0,36.0,644.5,1329.0,55.75,42.75,847.75,1723.5,1,0,1,0,0,0,0,7.0,56.0,0.0,0.0,1.0,0.0,EUROPA Conference,-0.22383059075213138,-0.11759702268153512
26,Wolves,26,48.133333333333326,43.0,30.0,800.3333333333334,1323.6666666666667,43.333333333333336,31.33333333333333,716.6666666666666,1519.3333333333333,1,0,1,0,0,0,0,10.0,51.0,0.0,0.0,0.0,0.0,N/A,0.3307109435561622,-0.7322253745980526
