Team,final_standing_2022,final_point_2022,champions,europa,europa_conference,relegation
Manchester City,1,93,1,0,0,0
Liverpool,2,92,1,0,0,0
Chelsea,3,74,1,0,0,0
Tottenham,4,41,1,0,0,0
Arsenal,5,69,0,1,0,0
Manchester Utd,6,58,0,1,0,0
West Ham,7,56,0,0,1,0
Leicester City,8,52,0,0,0,0
Brighton,9,51,0,0,0,0
Wolves,10,51,0,0,0,0
Newcastle Utd,11,49,0,0,0,0
Crystal Palace,12,48,0,0,0,0
Brentford,13,46,0,0,0,0
Aston Villa,14,45,0,0,0,0
Southampton,15,40,0,0,0,0
Everton,16,39,0,0,0,0
Leeds United,17,38,0,0,0,0
Burnley,18,35,0,0,0,1
Watford,19,23,0,0,0,1
Norwich City,20,22,0,0,0,1